date,source_type,page,section,brand,offer,product_type
2026-06-03,页面,Travel & Entertainment,Days Out,The Dungeons,+ Madame Tussauds £35 Ticket Bundle,Tours & Tickets
2026-06-03,页面,Travel & Entertainment,Days Out,Love to Visit,Extra 5% Off,Other
2026-06-03,页面,Travel & Entertainment,Days Out,Warwick Castle,Up to 20% Off short breaks at Warwick Castle!,Other
2026-06-03,页面,Travel & Entertainment,Events,Cineworld,2 Tickets for £13,Tours & Tickets
2026-06-03,页面,Travel & Entertainment,Events,Manchester City Football Club,Manchester City Stadium Tours From £18,Tours & Tickets
2026-06-03,页面,Travel & Entertainment,Events,Virgin Experience Days,Save on Merlin attractions & experiences,Tours & Tickets
2026-06-03,页面,Travel & Entertainment,Streaming Services,Prime Video,30 Day Free Trial of Prime Video Channels,Other
2026-06-03,页面,Travel & Entertainment,Streaming Services,Amazon Audible,30-day free trial,Other
2026-06-03,页面,Travel & Entertainment,Streaming Services,Audible,Amazon Audible 30-day free trial,Other
2026-06-03,页面,Travel & Entertainment,Streaming Services,Audible,30-day free trial,Other
2026-06-03,页面,Travel & Entertainment,Streaming Services,Channel 4,Your Free Month Trial Of Channel 4+,Other
2026-06-03,页面,Travel & Entertainment,Streaming Services,Apple Music,Get 1 month free,Other
2026-06-03,页面,Travel & Entertainment,Streaming Services,Apple Music,Only £5.99/month & free access to TV,Other
2026-06-03,页面,Travel & Entertainment,All Travel & Entertainment,Junkyard Golf Club,"50% Off Walk Ins At Leeds, Liverpool, Newcastle and Manchester",Other
2026-06-03,页面,Travel & Entertainment,All Travel & Entertainment,Airbnb,10% Off your first Airbnb stay,Hotels / Accommodation
2026-06-03,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£10 Off your first ride with Uber,Other
2026-06-03,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,15% Off Student Discount,Other
2026-06-03,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£5 Off your first UberXL trip,Other
2026-06-03,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,15% Off Student Discount Exclusive,Other
2026-06-03,页面,Transport,Transport,TrainPal,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,Uber Rides,£10 Off your first ride with Uber,Other
2026-06-03,页面,Transport,Transport,Uber Rides,£5 Off your first UberXL trip,Other
2026-06-03,页面,Transport,Transport,TrainPal,15% Off Trains For New Customers 16 hours,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,Uber Rides,£5 Off on First Train Ticket with Uber,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,OMIO,7% Off Travel for New Customers,Other
2026-06-03,页面,Transport,Transport,P&O Ferries,Day Trips to France from £60,Other
2026-06-03,页面,Transport,Transport,Omio,7% Off Travel for New Customers Exclusive,Other
2026-06-03,页面,Transport,Transport,Europcar,Save up to 15% on your car hire,Car Rental
2026-06-03,页面,Transport,Transport,Halfords,20% Off Selected Camping And Outdoor Products,Other
2026-06-03,页面,Transport,Transport,Klook,Up to 15% Off Travel Deals,Other
2026-06-03,页面,Transport,Transport,Trip.com,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,Emirates,Up to 10% Off Economy and Business Class Flights,Flights
2026-06-03,页面,Transport,Transport,Qatar Airways,Fly to Formula 1® & save up to 12%*,Flights
2026-06-03,页面,Transport,Transport,Trip.com,15% Off Trains For New Customers 27 days,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,Qatar Airways,Fly to Formula 1® & save up to 12%* Exclusive,Flights
2026-06-03,页面,Transport,Transport,Qatar Airways,Fly to MotoGP™ & Save up to 10%*,Flights
2026-06-03,页面,Transport,Transport,Trip.com,10% Off Car Rental,Car Rental
2026-06-03,页面,Transport,Transport,Trip.com,5% Off coaches for new users,Bus / Coach
2026-06-03,页面,Transport,Transport,Qatar Airways,Fly to MotoGP™ & Save up to 10%* Exclusive,Flights
2026-06-03,页面,Transport,Transport,Trip.com,10% off Railcard for existing users,Railcard
2026-06-03,页面,Transport,Transport,Trip.com,5% off UK trains for new users,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,Trip.com,2% Off UK trains for existing users,UK & Europe Train Tickets
2026-06-03,页面,Transport,Transport,Trip.com,6% Off Selected Tours & Tickets,Tours & Tickets
2026-06-03,页面,Transport,Transport,Trip.com,5% Off Tours and Tickets,Tours & Tickets
2026-06-03,页面,Transport,Transport,Trip.com,10% Off eSIM,eSIM / SIM
